"id";"customer_code";"title";"first_name";"last_name";"phone";"email";"organization_desc";"nationality_code"
1;"THETASMANIANGIFTWR";"Mr.";"John";"Wick";"04414221";"john.wick@gmail.com";"NOTHING";"CA"
2;"ACEFROZENWOODPARK";"Mrs.";"Client";"Z";"6137708899";"testemail@gmail.com";"NOTHING";"CN"
3;"string";"string";"string";"string";"0";"string";"string";"string"
6;"string";"string";"string";"string";"0";"string";"string";"string"
10;"string";"string";"string";"string";"0";"string";"string";"string"
11;"string";"string";"string";"string";"0";"string";"string";"string"
12;"string";"string";"string";"string";"0";"string";"string";"string"
13;"string";"string";"string";"string";"0";"string";"string";"string"
14;"string";"string";"string";"string";"0";"string";"string";"string"
15;"string";"string";"string";"string";"0";"string";"string";"string"
